,ID,Title,Year,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
23080,23081,OMG: Oh My God!,2012,8.1,67,Drama,1,0
23093,23094,Udaan,2010,8.2,65,Drama,1,0
23102,23103,Badla,2019,7.8,73,Drama,1,0
23111,23112,Madras Cafe,2013,7.7,60,Action & Adventure,1,0
23194,23195,Highway,2014,7.6,63,Drama,1,0
23237,23238,Angamaly Diaries,2017,8.0,55,Action & Adventure,1,0
23264,23265,Sudani from Nigeria,2018,8.2,53,Comedy,1,0
23300,23301,Mission Blue,2014,7.9,57,Drama,1,0
23310,23311,The Butterflys Dream,2013,7.8,65,Drama,1,0
23315,23316,Madras Cafe,2013,7.7,60,Drama,1,0
23352,23353,Rhys Nicholson: Live at the Athenaeum,2020,7.6,50,Comedy,1,0
23357,23358,Hannah Gadsby: Douglas,2020,7.8,73,Comedy,1,0
23362,23363,Sebastian Maniscalco: Whats Wrong with People?,2012,8.1,51,Comedy,1,0
23419,23420,Uyare,2019,8.0,56,Drama,1,0
23429,23430,Bhavesh Joshi Superhero,2018,7.6,64,Action & Adventure,1,0
23430,23431,Heneral Luna,2015,7.5,71,Action & Adventure,1,0
23431,23432,Awe!,2018,7.8,61,Action & Adventure,1,0
23495,23496,Angamaly Diaries,2017,8.0,55,Comedy,1,0
23496,23497,Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,2011,8.5,51,Comedy,1,0
23500,23501,Ankhon Dekhi,2014,8.0,58,Comedy,1,0
23505,23506,Sir,2018,7.6,62,Drama,1,0
23544,23545,Love You to the Stars and Back,2017,7.5,50,Action & Adventure,1,0
23591,23592,Kannum Kannum Kollaiyadithaal,2020,7.7,54,Comedy,1,0
23607,23608,I Am Kalam,2010,8.0,67,Comedy,1,0
23699,23700,Njan Prakashan,2018,7.6,50,Comedy,1,0
23760,23761,Ankhon Dekhi,2014,8.0,58,Drama,1,0
23763,23764,One Day,2016,7.7,53,Drama,1,0
23793,23794,The Book of Sun,2020,7.9,58,Comedy,1,0
23808,23809,Miracle in Cell No. 7,2019,7.5,56,Comedy,1,0
23843,23844,Kannum Kannum Kollaiyadithaal,2020,7.7,54,Drama,1,0
23846,23847,The Sky Is Pink,2019,7.6,73,Drama,1,0
23853,23854,Why Me?,2015,7.5,53,Drama,1,0
23857,23858,The Blue Elephant Part 2,2019,8.2,61,Drama,1,0
23863,23864,Heneral Luna,2015,7.5,71,Comedy,1,0
23876,23877,That Thing Called Tadhana,2014,7.5,53,Comedy,1,0
23903,23904,I Am Kalam,2010,8.0,67,Drama,1,0
23930,23931,Njan Prakashan,2018,7.6,50,Drama,1,0
23947,23948,Thithi,2015,8.2,51,Comedy,1,0
23972,23973,You Are My Sunday,2016,7.7,68,Comedy,1,0
23998,23999,Budhia Singh: Born to Run,2016,7.7,67,Drama,1,0
24001,24002,The Book of Sun,2020,7.9,58,Drama,1,0
24007,24008,The Gospel of John,2014,7.7,51,Drama,1,0
24013,24014,Ari Eldjárn: Pardon My Icelandic,2020,7.9,56,Comedy,1,0
24039,24040,Habibie & Ainun,2012,7.6,58,Drama,1,0
24052,24053,Miracle in Cell No. 7,2019,7.5,56,Drama,1,0
24071,24072,Bhavesh Joshi Superhero,2018,7.6,64,Drama,1,0
24072,24073,Heneral Luna,2015,7.5,71,Drama,1,0
24077,24078,Awe!,2018,7.8,61,Drama,1,0
24085,24086,Love You to the Stars and Back,2017,7.5,50,Comedy,1,0
24089,24090,Uma Maheswara Ugra Roopasya,2020,7.9,53,Comedy,1,0
24125,24126,That Thing Called Tadhana,2014,7.5,53,Drama,1,0
24146,24147,Merku Thodarchi Malai,2018,8.6,55,Drama,1,0
24154,24155,Do Dooni Chaar,2010,7.6,55,Comedy,1,0
24194,24195,City of Joy,2016,7.5,61,Drama,1,0
24201,24202,Thithi,2015,8.2,51,Drama,1,0
24220,24221,You Are My Sunday,2016,7.7,68,Drama,1,0
24221,24222,K. D.,2019,8.6,53,Drama,1,0
24234,24235,Love Ni Bhavai,2017,8.4,55,Comedy,1,0
24244,24245,Muramba,2017,8.0,52,Comedy,1,0
24276,24277,Cake,2018,7.7,51,Drama,1,0
24303,24304,Love You to the Stars and Back,2017,7.5,50,Drama,1,0
24348,24349,Uma Maheswara Ugra Roopasya,2020,7.9,53,Drama,1,0
24417,24418,Do Dooni Chaar,2010,7.6,55,Drama,1,0
24487,24488,Love Ni Bhavai,2017,8.4,55,Drama,1,0
24501,24502,Muramba,2017,8.0,52,Drama,1,0
24526,24527,Rudy Habibie,2016,7.5,51,Drama,1,0
24590,24591,Heaven Without People,2017,7.9,53,Drama,1,0
